ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form_1,Proto-Semitic,-oth,-at-,,,
form_2,Akkadian,supines,-𒌈,,,
form_3,Gulf_Arabic,singulative,ـة,,,
form_4,Maltese,2English,-a,,,
form_5,Classical_Syriac,this,ـܬܳܐ,,,
form_6,Classical_Syriac,Unknown,ـܻܝܬܳܐ,,,
form_7,Classical_Syriac,Unknown,ـܽܘܬܳܐ,,,
form_8,Yiddish,to,־ה,,,
form_9,Hebrew,Unknown,־ִית,,,
form_10,Yiddish,-ness,־ות,,,
form_11,Proto-Semitic,feminine,-ay-,,,
form_12,Arabic,rasm,ـَى,,,
form_13,Classical_Syriac,Unknown,ـܰܝܳܐ,,,
form_14,Proto-Semitic,lightning,baraḳ-,,,
form_15,Akkadian,lightning,𒉏𒄈,,,
form_16,Hijazi_Arabic,lightning,برق,,,
form_17,Maltese,lightning,beraq,,,
form_18,Moroccan_Arabic,lightning,برق,,,
form_19,South_Levantine_Arabic,lightning,برق,,,
form_20,Ottoman_Turkish,lightning,برق,,,
form_21,Persian,lightning,برق,,,
form_22,Classical_Mandaic,Unknown,ࡁࡉࡓࡒࡀ,,,
form_23,Classical_Syriac,lightning,ܒܱ݁ܪܩܳܐ,,,
form_24,Hebrew,gleam,בָּרָק,,,
form_25,Punic,Unknown,𐤁𐤓𐤒,,,
form_26,Ugaritic,lightning,𐎁𐎗𐎖,,,
form_27,Old_South_Arabian,lightning,𐩨𐩧𐩤,,,
form_28,Amharic,Unknown,በርቅ,,,
form_29,Geez,Unknown,በርቅ,,,
form_30,Tigrinya,Unknown,በርቂ,,,
form_31,Tigre,Unknown,በርቅ,,,
form_32,Mehri,Unknown,bōreq,,,
form_33,Shehri,Unknown,barq,,,
form_34,Soqotri,Unknown,barq,,,
form_35,Coptic,lightning,ⲉⲃⲣⲏϭⲉ,,,
form_36,Proto-Semitic,field,barr-,,,
form_37,Akkadian,Unknown,𒁉𒊒𒌑,,,
form_38,Arabic,door,بَرّ,,,
form_39,Classical_Syriac,body,ܒܱ݁ܪܴ݁ܐ,,,
form_40,Hebrew,Bar,בַּר,,,
form_41,Old_South_Arabian,field,𐩨𐩧,,,
form_42,Tigre,Unknown,ባር,,,
form_43,Proto-Semitic,virgin,batūl-,,,
form_44,Turkish,given_name,Betül,,,
form_45,Yiddish,Unknown,בְּתוּלָה,,,
form_46,Aramaic,virgin,בתולתא,,,
form_47,Ugaritic,maiden,𐎁𐎚𐎍𐎚,,,
form_48,Proto-Semitic,house,bayt-,,,
form_49,Akkadian,house,𒂍,,,
form_50,Egyptian_Arabic,Unknown,بيت,,,
form_51,Gulf_Arabic,house,بيت,,,
form_52,Hijazi_Arabic,house,بيت,,,
form_53,Maltese,roof,bejt,,,
form_54,Moroccan_Arabic,house,بيت,,,
form_55,Moroccan_Arabic,house,بيت,,,
form_56,Azerbaijani,1English,beyt,,,
form_57,Malay,1English,bait,,,
form_58,Classical_Syriac,house,ܒܱ݁ܝܬܴ݁ܐ,,,
form_59,Lishana_Deni,house,ביתא,,,
form_60,Mandaic,house,ࡁࡉࡕ,,,
form_61,Central_Neo-Aramaic,house,ܒܰܝܬܳܐ,,,
form_62,Sabaean,house,𐩨𐩺𐩩,,,
form_63,Hebrew,beth,בַּיִת,,,
form_64,Punic,house,𐤁𐤕,,,
form_65,Ugaritic,house,𐎁𐎚,,,
form_66,Amharic,house,ቤት,,,
form_67,Geez,house,ቤት,,,
form_68,Tigrinya,house,ቤት,,,
form_69,Proto-Semitic,husband,baʕl-,,,
